TF_motif,time,direction,gene,score,peak,distance
FOXK2,2,pos,GPC6,0.836417557,chr13-93049128-93049628,-177464
FOXK2,2,pos,FRMD5,1.658623039,chr15-44102601-44103101,92401
FOXK2,2,pos,FRMD5,1.743586039,chr15-44275146-44275646,-80144
FOXK2,2,pos,SEMA6D,0.859197215,chr15-47331808-47332308,147957
FOXK2,2,pos,CCBE1,1.075223703,chr18-59685461-59685961,11669
FOXK2,2,pos,PHF21B,0.909737776,chr22-45125099-45125599,-115350
FOXK2,2,pos,ST6GAL1,0.87896744,chr3-187015820-187016320,85585
FOXK2,2,pos,ITPR1,0.870481328,chr3-4672694-4673194,179596
FOXK2,2,pos,MAML3,0.849642399,chr4-140149270-140149770,4664
FOXK2,2,pos,PAM,0.829275451,chr5-102840954-102841454,87223
FOXK2,2,pos,GLI3,1.055258892,chr7-42205211-42205711,32409
FOXK2,2,pos,TOX,1.823635443,chr8-59039355-59039855,79603
FOXK2,2,pos,PAG1,0.946461783,chr8-80975350-80975850,136468
ESX1,2,pos,RGS7,0.892725986,chr1-241349289-241349789,7691
ESX1,2,pos,DAB1,1.104632211,chr1-58660836-58661336,-114352
ESX1,2,pos,BICC1,1.028247533,chr10-58546984-58547484,34094
ESX1,2,pos,SPATA13,0.646972564,chr13-23888544-23889044,-91011
ESX1,2,pos,SPATA13,2.052901298,chr13-23995250-23995750,15695
ESX1,2,pos,SPATA13,1.010046178,chr13-24159283-24159783,179728
ESX1,2,pos,MYO1D,1.394109558,chr17-32783475-32783975,93452
ESX1,2,pos,DTNB,0.64179358,chr2-25561804-25562304,111593
ESX1,2,pos,PLCB4,0.927263868,chr20-9082230-9082730,13717
ESX1,2,pos,CAMK2D,2.548340491,chr4-113575392-113575892,186285
ESX1,2,pos,PRSS12,0.844155388,chr4-118347021-118347521,5732
ESX1,2,pos,GLI3,1.183977405,chr7-42134661-42135161,102959
HESX1,2,pos,RGS7,0.892725986,chr1-241349289-241349789,7691
HESX1,2,pos,DAB1,1.104632211,chr1-58660836-58661336,-114352
HESX1,2,pos,BICC1,1.028247533,chr10-58546984-58547484,34094
HESX1,2,pos,SPATA13,0.646972564,chr13-23888544-23889044,-91011
HESX1,2,pos,SPATA13,2.052901298,chr13-23995250-23995750,15695
HESX1,2,pos,SPATA13,1.010046178,chr13-24159283-24159783,179728
HESX1,2,pos,MYO1D,1.394109558,chr17-32783475-32783975,93452
HESX1,2,pos,CAMK2D,2.548340491,chr4-113575392-113575892,186285
HESX1,2,pos,PRSS12,0.844155388,chr4-118347021-118347521,5732
HESX1,2,pos,MAML3,0.849642399,chr4-140149270-140149770,4664
ESR1,2,pos,AC099792.1,1.293035112,chr1-60941664-60942164,-73916
ESR1,2,pos,GRAMD1B,0.770182881,chr11-123161568-123162068,-196610
ESR1,2,pos,CUX2,0.691387892,chr12-111074460-111074960,40686
ESR1,2,pos,APOLD1,0.799570674,chr12-12741695-12742195,16028
ESR1,2,pos,ATP2B1,0.676788535,chr12-89691585-89692085,17465
ESR1,2,pos,SPATA13,0.646972564,chr13-23888544-23889044,-91011
ESR1,2,pos,SMOC1,0.997647825,chr14-69836862-69837362,-17019
ESR1,2,pos,FRMD5,1.42768706,chr15-44213114-44213614,-18112
ESR1,2,pos,FRMD5,1.480741084,chr15-44289077-44289577,-94075
ESR1,2,pos,CDH13,0.724782722,chr16-82470654-82471154,-155899
ESR1,2,pos,CDH13,0.852853113,chr16-82627211-82627711,658
ESR1,2,pos,EPHA4,0.840309535,chr2-221573404-221573904,548
ESR1,2,pos,SEMA6A,1.588996484,chr5-116767829-116768329,-193145
ESR1,2,pos,GLI3,1.183977405,chr7-42134661-42135161,102959
ESR1,2,pos,C8orf34,0.881193535,chr8-68257821-68258321,-72651
ESR1,2,pos,PAG1,0.723037102,chr8-81002133-81002633,109685
NOTO,2,pos,RGS7,0.892725986,chr1-241349289-241349789,7691
NOTO,2,pos,BICC1,1.028247533,chr10-58546984-58547484,34094
NOTO,2,pos,TMTC2,1.399751794,chr12-82836951-82837451,150321
NOTO,2,pos,SPATA13,0.646972564,chr13-23888544-23889044,-91011
NOTO,2,pos,SPATA13,2.052901298,chr13-23995250-23995750,15695
NOTO,2,pos,SPATA13,1.010046178,chr13-24159283-24159783,179728
NOTO,2,pos,SEMA6D,0.859197215,chr15-47331808-47332308,147957
NOTO,2,pos,CDH13,0.820728417,chr16-82547286-82547786,-79267
NOTO,2,pos,ERC2,0.901952598,chr3-56370992-56371492,97121
NOTO,2,pos,CAMK2D,2.548340491,chr4-113575392-113575892,186285
NOTO,2,pos,GLI3,1.183977405,chr7-42134661-42135161,102959
FOXG1,2,pos,GPC6,0.836417557,chr13-93049128-93049628,-177464
FOXG1,2,pos,FRMD5,1.658623039,chr15-44102601-44103101,92401
FOXG1,2,pos,SEMA6D,0.859197215,chr15-47331808-47332308,147957
FOXG1,2,pos,CDH13,0.820728417,chr16-82547286-82547786,-79267
FOXG1,2,pos,CCBE1,1.075223703,chr18-59685461-59685961,11669
FOXG1,2,pos,PHF21B,0.909737776,chr22-45125099-45125599,-115350
FOXG1,2,pos,ST6GAL1,0.87896744,chr3-187015820-187016320,85585
FOXG1,2,pos,PRSS12,0.991545118,chr4-118279152-118279652,73601
FOXG1,2,pos,PRSS12,0.844155388,chr4-118347021-118347521,5732
FOXG1,2,pos,MAML3,0.849642399,chr4-140149270-140149770,4664
FOXG1,2,pos,PAM,0.829275451,chr5-102840954-102841454,87223
FOXG1,2,pos,SGK1,0.743958406,chr6-134182468-134182968,135394
FOXG1,2,pos,TOX,1.823635443,chr8-59039355-59039855,79603
FOXG1,2,pos,MSRA,0.559374145,chr8-9944969-9945469,-109049
MAFG,2,pos,DPYD,1.266238492,chr1-97923801-97924301,-3002
MAFG,2,pos,SOX6,2.359506189,chr11-16812262-16812762,-72921
MAFG,2,pos,TMEM132B,1.089694749,chr12-125358806-125359306,172220
MAFG,2,pos,CNTN1,0.785746594,chr12-40646351-40646851,-45841
MAFG,2,pos,ATP2B1,0.676788535,chr12-89691585-89692085,17465
MAFG,2,pos,SPATA13,1.349280428,chr13-23858301-23858801,-121254
MAFG,2,pos,GPC6,0.836417557,chr13-93049128-93049628,-177464
MAFG,2,pos,FIGN,1.126348644,chr2-163605767-163606267,129995
MAFG,2,pos,EPHA4,0.822228953,chr2-221648928-221649428,-74976
MAFG,2,pos,LIMCH1,0.917910438,chr4-41554409-41554909,195052
MAFG,2,pos,RAB3C,1.771135292,chr5-58742482-58742982,160511
CLOCK,2,pos,SRM,0.820641193,chr1-10979355-10979855,80419
CLOCK,2,pos,SIPA1L2,0.72344622,chr1-232553324-232553824,7984
CLOCK,2,pos,AC099792.1,1.676313821,chr1-60753472-60753972,114276
CLOCK,2,pos,AC099792.1,1.293035112,chr1-60941664-60942164,-73916
CLOCK,2,pos,SPATA13,1.349280428,chr13-23858301-23858801,-121254
CLOCK,2,pos,FGF12,1.125583227,chr3-192826128-192826628,-58614
CLOCK,2,pos,ITPR1,0.870481328,chr3-4672694-4673194,179596
CLOCK,2,pos,GRID2,0.743795077,chr4-92359446-92359946,56074
CLOCK,2,pos,GLI3,1.172803412,chr7-42062803-42063303,174817
CLOCK,2,pos,PAG1,0.946461783,chr8-80975350-80975850,136468
LHX2,2,pos,RGS7,0.892725986,chr1-241349289-241349789,7691
LHX2,2,pos,DAB1,1.104632211,chr1-58660836-58661336,-114352
LHX2,2,pos,AC099792.1,1.293035112,chr1-60941664-60942164,-73916
LHX2,2,pos,TMTC2,1.399751794,chr12-82836951-82837451,150321
LHX2,2,pos,SEMA6D,0.859197215,chr15-47331808-47332308,147957
LHX2,2,pos,CDH13,0.820728417,chr16-82547286-82547786,-79267
LHX2,2,pos,MYO1D,1.394109558,chr17-32783475-32783975,93452
LHX2,2,pos,EPHA4,0.988735652,chr2-221616989-221617489,-43037
LHX2,2,pos,ERC2,0.901952598,chr3-56370992-56371492,97121
LHX2,2,pos,ITGB8,1.352964735,chr7-20227982-20228482,-102470
LHX2,2,pos,GLI3,1.183977405,chr7-42134661-42135161,102959
EVX1,3,pos,AC099792.1,1.012411002,chr1-60863758-60864258,3990
EVX1,3,pos,AC099792.1,0.803122176,chr1-60912368-60912868,-44620
EVX1,3,pos,GRIA4,1.033063227,chr11-105713698-105714198,103954
EVX1,3,pos,GRIP1,0.74731573,chr12-66740294-66740794,63642
EVX1,3,pos,MYO16,1.166647937,chr13-108631317-108631817,35415
EVX1,3,pos,GRID2,0.782958412,chr4-92346894-92347394,43522
EVX1,3,pos,MCTP1,1.122587244,chr5-95307886-95308386,-23561
EVX1,3,pos,MCTP1,0.859744959,chr5-95319219-95319719,-34894
GATA1::TAL1,3,pos,AC099792.1,1.08966418,chr1-60857797-60858297,9951
GATA1::TAL1,3,pos,AC099792.1,1.012411002,chr1-60863758-60864258,3990
GATA1::TAL1,3,pos,AC099792.1,0.803122176,chr1-60912368-60912868,-44620
GATA1::TAL1,3,pos,GAS2L3,0.67541942,chr12-100448571-100449071,-124862
GATA1::TAL1,3,pos,EPS8,1.412083024,chr12-15919154-15919654,-37075
GATA1::TAL1,3,pos,GRIP1,1.039121941,chr12-66716680-66717180,87256
GATA1::TAL1,3,pos,ST6GAL1,1.310093158,chr3-187045079-187045579,114844
GATA1::TAL1,3,pos,FAM19A1,0.98145374,chr3-67869410-67869910,-134556
GATA1::TAL1,3,pos,GRID2,0.782958412,chr4-92346894-92347394,43522
GATA1::TAL1,3,pos,PVT1,1.591280357,chr8-127651821-127652321,-142462
POU4F2,3,pos,AC099792.1,1.117429802,chr1-60841238-60841738,26510
POU4F2,3,pos,CACNB2,0.864512721,chr10-18204528-18205028,64101
POU4F2,3,pos,GRIA4,1.033063227,chr11-105713698-105714198,103954
POU4F2,3,pos,GRIP1,0.74731573,chr12-66740294-66740794,63642
POU4F2,3,pos,TMTC2,1.220133439,chr12-82866246-82866746,179616
POU4F2,3,pos,FRY,0.629407109,chr13-31885874-31886374,-145176
POU4F2,3,pos,CAMK2D,1.383828641,chr4-113576582-113577082,185095
POU4F2,3,pos,ITGB8,0.72754079,chr7-20407399-20407899,76947
POU4F2,3,pos,CREB5,1.109662958,chr7-28170650-28171150,-128421
POU4F2,3,pos,ZHX2,0.594948178,chr8-122876150-122876650,95006
POU4F2,3,pos,TOX,0.942801174,chr8-59289338-59289838,-170380
ZSCAN4,3,pos,AC099792.1,1.012411002,chr1-60863758-60864258,3990
ZSCAN4,3,pos,GRIA4,1.033063227,chr11-105713698-105714198,103954
ZSCAN4,3,pos,GAS2L3,0.655814009,chr12-100714457-100714957,141024
ZSCAN4,3,pos,TMEM132B,1.183163649,chr12-125365907-125366407,179321
ZSCAN4,3,pos,GRIP1,0.951215415,chr12-66606834-66607334,197102
ZSCAN4,3,pos,CRADD,1.074005526,chr12-93821301-93821801,144176
ZSCAN4,3,pos,FRY,0.629407109,chr13-31885874-31886374,-145176
ZSCAN4,3,pos,SEMA6D,1.073522267,chr15-47340222-47340722,156371
ZSCAN4,3,pos,CA12,2.008524498,chr15-63552291-63552791,-170380
ZSCAN4,3,pos,FGF12,1.186388013,chr3-192620171-192620671,147343
ZSCAN4,3,pos,ARPP21,0.882372578,chr3-35492050-35492550,-146645
ZSCAN4,3,pos,GRID2,0.782958412,chr4-92346894-92347394,43522
ZSCAN4,3,pos,MCTP1,0.859744959,chr5-95319219-95319719,-34894
ZSCAN4,3,pos,PTK7,0.655348226,chr6-42907502-42908002,-168516
ZSCAN4,3,pos,PTK7,0.880090264,chr6-43078208-43078708,2190
ZSCAN4,3,pos,ITGB8,0.832408097,chr7-20139815-20140315,-190637
ZSCAN4,3,pos,ITGB8,0.923629661,chr7-20408494-20408994,78042
ZSCAN4,3,pos,RGS20,0.967289047,chr8-53657776-53658276,-193782
HOXA5,3,pos,GAS2L3,0.67541942,chr12-100448571-100449071,-124862
HOXA5,3,pos,GPC6,1.40577815,chr13-93075643-93076143,-150949
HOXA5,3,pos,CA12,2.008524498,chr15-63552291-63552791,-170380
HOXA5,3,pos,FIGN,1.945729243,chr2-163646618-163647118,89144
HOXA5,3,pos,MCTP1,1.122587244,chr5-95307886-95308386,-23561
HOXA5,3,pos,GLI3,0.956683044,chr7-42146327-42146827,91293
HOXA5,3,pos,MSRA,1.046706153,chr8-10095954-10096454,41936
NR4A2::RXRA,3,pos,AC099792.1,1.012411002,chr1-60863758-60864258,3990
NR4A2::RXRA,3,pos,AC099792.1,1.029826155,chr1-60904482-60904982,-36734
NR4A2::RXRA,3,pos,CACNB2,0.778687386,chr10-18006232-18006732,-134195
NR4A2::RXRA,3,pos,ARPP21,0.882372578,chr3-35492050-35492550,-146645
NR4A2::RXRA,3,pos,FAM19A1,0.98145374,chr3-67869410-67869910,-134556
NR4A2::RXRA,3,pos,MCTP1,0.829310536,chr5-95422811-95423311,-138486
NR4A2::RXRA,3,pos,PAG1,0.927099383,chr8-80926312-80926812,185506
NKX3-2,3,pos,AC099792.1,1.029826155,chr1-60904482-60904982,-36734
NKX3-2,3,pos,TMEM132B,1.183163649,chr12-125365907-125366407,179321
NKX3-2,3,pos,EPS8,1.412083024,chr12-15919154-15919654,-37075
NKX3-2,3,pos,GRIP1,1.039121941,chr12-66716680-66717180,87256
NKX3-2,3,pos,GRIP1,0.74731573,chr12-66740294-66740794,63642
NKX3-2,3,pos,MCTP1,1.122587244,chr5-95307886-95308386,-23561
NKX3-2,3,pos,ITGB8,0.72754079,chr7-20407399-20407899,76947
NKX3-2,3,pos,PAG1,0.804101907,chr8-81076860-81077360,34958
NKX3-2,3,pos,PAG1,0.709113401,chr8-81105211-81105711,6607
EOMES,3,pos,AC099792.1,1.012411002,chr1-60863758-60864258,3990
EOMES,3,pos,TMEM123,1.056351115,chr11-102348019-102348519,122115
EOMES,3,pos,GRAMD1B,0.787098345,chr11-123217844-123218344,-140334
EOMES,3,pos,TMEM132B,1.183163649,chr12-125365907-125366407,179321
EOMES,3,pos,MYO16,0.756790089,chr13-108439518-108440018,-156384
EOMES,3,pos,GPC6,1.40577815,chr13-93075643-93076143,-150949
EOMES,3,pos,PLCB4,0.720866295,chr20-9165163-9165663,96650
EOMES,3,pos,MCTP1,1.122587244,chr5-95307886-95308386,-23561
EOMES,3,pos,GLI3,0.956683044,chr7-42146327-42146827,91293
EOMES,3,pos,PVT1,1.591280357,chr8-127651821-127652321,-142462
NFIC,3,pos,AC099792.1,0.861382502,chr1-60809445-60809945,58303
NFIC,3,pos,AC099792.1,1.029826155,chr1-60904482-60904982,-36734
NFIC,3,pos,AC099792.1,0.769653138,chr1-60952743-60953243,-84995
NFIC,3,pos,GAS2L3,0.67541942,chr12-100448571-100449071,-124862
NFIC,3,pos,CUX2,0.847326581,chr12-111211633-111212133,177859
NFIC,3,pos,APOLD1,1.039867906,chr12-12745759-12746259,20092
NFIC,3,pos,APOLD1,0.711856752,chr12-12845237-12845737,119570
NFIC,3,pos,PTPRM,1.102783789,chr18-7458842-7459342,-107690
NFIC,3,pos,PLCB4,0.720866295,chr20-9165163-9165663,96650
NFIC,3,pos,FAM19A1,0.98145374,chr3-67869410-67869910,-134556
NFIC,3,pos,GRID2,0.782958412,chr4-92346894-92347394,43522
NFIC,3,pos,MCTP1,1.122587244,chr5-95307886-95308386,-23561
NFIC,3,pos,MCTP1,0.859744959,chr5-95319219-95319719,-34894
NFIC,3,pos,MCTP1,0.816808801,chr5-95471488-95471988,-187163
NFIC,3,pos,PTK7,0.655348226,chr6-42907502-42908002,-168516
NFIC,3,pos,ITGB8,0.923629661,chr7-20408494-20408994,78042
NFIC,3,pos,TOX,0.942801174,chr8-59289338-59289838,-170380
NFIC,3,pos,CHD7,0.652710475,chr8-60619943-60620443,-58585
NFIC,3,pos,PAG1,0.927099383,chr8-80926312-80926812,185506
Pax6,3,pos,AC099792.1,1.029826155,chr1-60904482-60904982,-36734
Pax6,3,pos,GAS2L3,0.655814009,chr12-100714457-100714957,141024
Pax6,3,pos,GRIP1,0.951215415,chr12-66606834-66607334,197102
Pax6,3,pos,AC007495.1,0.614539315,chr16-56386385-56386885,-195541
Pax6,3,pos,FIGN,0.889425833,chr2-163919034-163919534,-183272
Pax6,3,pos,CAMK2D,1.383828641,chr4-113576582-113577082,185095
Pax6,3,pos,MCTP1,0.829310536,chr5-95422811-95423311,-138486
Pax6,3,pos,CHD7,1.037520343,chr8-60639658-60640158,-38870
ZNF24,3,pos,CACNB2,0.864512721,chr10-18204528-18205028,64101
ZNF24,3,pos,GAS2L3,0.67541942,chr12-100448571-100449071,-124862
ZNF24,3,pos,GAS2L3,0.655814009,chr12-100714457-100714957,141024
ZNF24,3,pos,TMEM132B,1.183163649,chr12-125365907-125366407,179321
ZNF24,3,pos,GRIP1,0.951215415,chr12-66606834-66607334,197102
ZNF24,3,pos,MYO16,1.166647937,chr13-108631317-108631817,35415
ZNF24,3,pos,GPC6,1.40577815,chr13-93075643-93076143,-150949
ZNF24,3,pos,AC007495.1,0.614539315,chr16-56386385-56386885,-195541
ZNF24,3,pos,FAM19A1,0.98145374,chr3-67869410-67869910,-134556
ZNF24,3,pos,MCTP1,0.859744959,chr5-95319219-95319719,-34894
ZNF24,3,pos,TOX,0.942801174,chr8-59289338-59289838,-170380
ZNF24,3,pos,CHD7,0.652710475,chr8-60619943-60620443,-58585
ZNF24,3,pos,PAG1,0.709113401,chr8-81105211-81105711,6607
ZNF24,3,pos,PAG1,0.86679905,chr8-81235167-81235667,-123349
BCL6B,3,pos,CACNB2,0.778687386,chr10-18006232-18006732,-134195
BCL6B,3,pos,GRAMD1B,0.787098345,chr11-123217844-123218344,-140334
BCL6B,3,pos,PLXNC1,1.513265621,chr12-94170655-94171155,22182
BCL6B,3,pos,MYO16,1.166647937,chr13-108631317-108631817,35415
BCL6B,3,pos,SEMA6D,1.073522267,chr15-47340222-47340722,156371
BCL6B,3,pos,MCTP1,1.122587244,chr5-95307886-95308386,-23561
BCL6B,3,pos,MCTP1,0.859744959,chr5-95319219-95319719,-34894
BCL6B,3,pos,MCTP1,0.829310536,chr5-95422811-95423311,-138486
BCL6B,3,pos,FOXP2,0.982357023,chr7-113994724-113995224,-91353
BCL6B,3,pos,CHD7,0.652710475,chr8-60619943-60620443,-58585
HMBOX1,3,pos,SIPA1L2,1.136580114,chr1-232506966-232507466,54342
HMBOX1,3,pos,AC099792.1,0.863111452,chr1-60941664-60942164,-73916
HMBOX1,3,pos,GAS2L3,0.655814009,chr12-100714457-100714957,141024
HMBOX1,3,pos,ARPP21,0.882372578,chr3-35492050-35492550,-146645
HMBOX1,3,pos,FAM19A1,0.98145374,chr3-67869410-67869910,-134556
HOXD11,3,pos,AC099792.1,1.012411002,chr1-60863758-60864258,3990
HOXD11,3,pos,ST6GAL1,1.310093158,chr3-187045079-187045579,114844
HOXD11,3,pos,RAB3C,1.582496312,chr5-58710849-58711349,128878
HOXD11,3,pos,MSRA,1.046706153,chr8-10095954-10096454,41936
HOXD11,3,pos,TOX,0.942801174,chr8-59289338-59289838,-170380
TBX2,3,pos,TMEM123,1.056351115,chr11-102348019-102348519,122115
TBX2,3,pos,GRAMD1B,0.787098345,chr11-123217844-123218344,-140334
TBX2,3,pos,TMEM132B,1.183163649,chr12-125365907-125366407,179321
TBX2,3,pos,GRIP1,1.039121941,chr12-66716680-66717180,87256
TBX2,3,pos,MYO16,0.756790089,chr13-108439518-108440018,-156384
TBX2,3,pos,GPC6,1.40577815,chr13-93075643-93076143,-150949
TBX2,3,pos,SEMA6D,1.073522267,chr15-47340222-47340722,156371
TBX2,3,pos,AC007495.1,0.90388127,chr16-56212303-56212803,-21459
TBX2,3,pos,MCTP1,1.122587244,chr5-95307886-95308386,-23561
TEAD1,3,pos,SIPA1L2,1.136580114,chr1-232506966-232507466,54342
TEAD1,3,pos,CACNB2,0.864512721,chr10-18204528-18205028,64101
TEAD1,3,pos,GAS2L3,0.67541942,chr12-100448571-100449071,-124862
TEAD1,3,pos,GRIP1,1.039121941,chr12-66716680-66717180,87256
TEAD1,3,pos,PLXNC1,1.513265621,chr12-94170655-94171155,22182
TEAD1,3,pos,AC007495.1,0.90388127,chr16-56212303-56212803,-21459
TEAD1,3,pos,GRID2,1.40836481,chr4-92334608-92335108,31236
TEAD1,3,pos,MCTP1,1.122587244,chr5-95307886-95308386,-23561
TEAD1,3,pos,GLI3,0.956683044,chr7-42146327-42146827,91293
TEAD1,3,pos,ZHX2,0.728451923,chr8-122613261-122613761,-167883
NKX2-3,3,pos,AC099792.1,1.029826155,chr1-60904482-60904982,-36734
NKX2-3,3,pos,TMEM132B,1.183163649,chr12-125365907-125366407,179321
NKX2-3,3,pos,EPS8,1.412083024,chr12-15919154-15919654,-37075
NKX2-3,3,pos,GRIP1,1.039121941,chr12-66716680-66717180,87256
NKX2-3,3,pos,SEMA6D,1.073522267,chr15-47340222-47340722,156371
NKX2-3,3,pos,ITGB8,0.72754079,chr7-20407399-20407899,76947
NKX2-3,3,pos,CHD7,0.652710475,chr8-60619943-60620443,-58585
NKX2-3,3,pos,PAG1,0.804101907,chr8-81076860-81077360,34958
NKX2-3,3,pos,PAG1,0.709113401,chr8-81105211-81105711,6607
ZBTB18,4,pos,RGS7,1.210592402,chr1-241413413-241413913,-56433
ZBTB18,4,pos,EFCAB2,0.688630155,chr1-245166279-245166779,196824
ZBTB18,4,pos,GRAMD1B,1.131463841,chr11-123214964-123215464,-143214
ZBTB18,4,pos,TMEM132B,0.969911471,chr12-125128435-125128935,-58151
ZBTB18,4,pos,APOLD1,0.827065482,chr12-12558845-12559345,-166822
ZBTB18,4,pos,APOLD1,0.904850013,chr12-12704536-12705036,-21131
ZBTB18,4,pos,APOLD1,0.825563574,chr12-12808542-12809042,82875
ZBTB18,4,pos,APOLD1,1.034642207,chr12-12845237-12845737,119570
ZBTB18,4,pos,SMOC1,0.707208213,chr14-69841562-69842062,-12319
ZBTB18,4,pos,CA12,1.064641112,chr15-63463500-63464000,-81589
ZBTB18,4,pos,ZNF423,0.63436859,chr16-49738714-49739214,118955
ZBTB18,4,pos,CDH13,0.713153665,chr16-82612148-82612648,-14405
ZBTB18,4,pos,EPHA4,1.483689843,chr2-221458545-221459045,115407
ZBTB18,4,pos,ABCG1,1.281828765,chr21-42038943-42039443,-160496
ZBTB18,4,pos,PHF21B,1.346548252,chr22-45209525-45210025,-199776
ZBTB18,4,pos,ITPR1,1.154393375,chr3-4672694-4673194,179596
ZBTB18,4,pos,ERC2,0.659746943,chr3-56467020-56467520,1093
ZBTB18,4,pos,TENM2,1.832161915,chr5-167247806-167248306,-36743
ZBTB18,4,pos,SLC1A3,0.797384909,chr5-36652948-36653448,46843
ZBTB18,4,pos,SGK1,0.862572798,chr6-134421261-134421761,-103399
ZBTB18,4,pos,EPM2A,0.593181432,chr6-145875596-145876096,-139823
ZBTB18,4,pos,ELMO1,0.655047573,chr7-37580435-37580935,-131436
ZBTB18,4,pos,ZHX2,1.122036293,chr8-122814071-122814571,32927
ZBTB18,4,pos,DLGAP2,0.754590145,chr8-926512-927012,189166
TCF7L1,4,pos,SRM,1.179653618,chr1-11132232-11132732,-72458
TCF7L1,4,pos,SIPA1L2,0.986252097,chr1-232535034-232535534,26274
TCF7L1,4,pos,RGS7,1.490803295,chr1-241518995-241519495,-162015
TCF7L1,4,pos,GUCY1A2,1.210749334,chr11-106898106-106898606,120168
TCF7L1,4,pos,APOLD1,0.90376347,chr12-12737050-12737550,11383
TCF7L1,4,pos,GRIP1,1.266625552,chr12-66762744-66763244,41192
TCF7L1,4,pos,SMOC1,1.275744592,chr14-69812600-69813100,-41281
TCF7L1,4,pos,SCN2A,0.94977872,chr2-165128468-165128968,-66275
TCF7L1,4,pos,EPHA4,1.053894041,chr2-221527808-221528308,46144
TCF7L1,4,pos,EPHA4,1.316616351,chr2-221642127-221642627,-68175
TCF7L1,4,pos,CHL1,1.109540578,chr3-157906-158406,-38440
TCF7L1,4,pos,ITPR1,1.779037361,chr3-4533976-4534476,40878
TCF7L1,4,pos,PAM,0.730925319,chr5-102583731-102584231,-170000
TCF7L1,4,pos,PAM,3.15507672,chr5-102921614-102922114,167883
TCF7L1,4,pos,SLC1A3,1.144285807,chr5-36741145-36741645,135040
TCF7L1,4,pos,PLXNA4,1.31542221,chr7-132485566-132486066,162872
TCF7L1,4,pos,CREB5,0.947837401,chr7-28425414-28425914,126343
TCF7L1,4,pos,GLI3,0.699601093,chr7-42125181-42125681,112439
TCF7L1,4,pos,GLI3,1.648188865,chr7-42205211-42205711,32409
TCF7L1,4,pos,HSPB1,0.879113445,chr7-76304188-76304688,1894
TCF7L1,4,pos,CHD7,0.737423562,chr8-60524125-60524625,-154403
NEUROD1,4,pos,SRM,1.179653618,chr1-11132232-11132732,-72458
NEUROD1,4,pos,EFCAB2,0.688630155,chr1-245166279-245166779,196824
NEUROD1,4,pos,GUCY1A2,0.868603681,chr11-107042754-107043254,-24480
NEUROD1,4,pos,TMEM132B,0.72876255,chr12-125185995-125186495,-591
NEUROD1,4,pos,TMEM132B,1.39499795,chr12-125374657-125375157,188071
NEUROD1,4,pos,APOLD1,0.827065482,chr12-12558845-12559345,-166822
NEUROD1,4,pos,APOLD1,1.034642207,chr12-12845237-12845737,119570
NEUROD1,4,pos,TMTC2,0.910019201,chr12-82866930-82867430,180300
NEUROD1,4,pos,GPC6,1.621555661,chr13-93108285-93108785,-118307
NEUROD1,4,pos,SMOC1,0.707208213,chr14-69841562-69842062,-12319
NEUROD1,4,pos,ZNF423,0.63436859,chr16-49738714-49739214,118955
NEUROD1,4,pos,GAREM1,1.066187133,chr18-32628631-32629131,-158397
NEUROD1,4,pos,GPR39,0.977486516,chr2-132584089-132584589,167765
NEUROD1,4,pos,SCN2A,0.94977872,chr2-165128468-165128968,-66275
NEUROD1,4,pos,EPHA4,1.483689843,chr2-221458545-221459045,115407
NEUROD1,4,pos,PLCB4,1.184905651,chr20-9082741-9083241,14228
NEUROD1,4,pos,ABCG1,1.281828765,chr21-42038943-42039443,-160496
NEUROD1,4,pos,HEG1,2.043797331,chr3-125186129-125186629,-130421
NEUROD1,4,pos,CHL1,1.109540578,chr3-157906-158406,-38440
NEUROD1,4,pos,MAGI1,0.897110983,chr3-66017099-66017599,21485
NEUROD1,4,pos,PAM,0.730925319,chr5-102583731-102584231,-170000
NEUROD1,4,pos,SEMA6A,1.625429773,chr5-116410906-116411406,163778
NEUROD1,4,pos,SEMA6A,1.932689574,chr5-116441985-116442485,132699
NEUROD1,4,pos,SLC1A3,0.797384909,chr5-36652948-36653448,46843
NEUROD1,4,pos,SLC1A3,1.213830349,chr5-36769647-36770147,163542
NEUROD1,4,pos,SGK1,0.862572798,chr6-134421261-134421761,-103399
NEUROD1,4,pos,EPM2A,0.593181432,chr6-145875596-145876096,-139823
NEUROD1,4,pos,PTK7,0.93138376,chr6-42929177-42929677,-146841
NEUROD1,4,pos,FOXP2,0.703919978,chr7-113994724-113995224,-91353
NEUROD1,4,pos,PLXNA4,1.31542221,chr7-132485566-132486066,162872
NEUROD1,4,pos,ELMO1,0.655047573,chr7-37580435-37580935,-131436
NEUROD1,4,pos,ZHX2,1.758147165,chr8-122664710-122665210,-116434
NEUROD1,4,pos,ZHX2,1.192811124,chr8-122744754-122745254,-36390
NEUROD1,4,pos,ZHX2,1.122036293,chr8-122814071-122814571,32927
NEUROD1,4,pos,PVT1,0.864521841,chr8-127686640-127687140,-107643
NEUROD1,4,pos,CHD7,0.895831259,chr8-60835866-60836366,157338
NEUROD1,4,pos,PAG1,0.889728394,chr8-80974324-80974824,137494
NEUROD1,4,pos,PAG1,0.837776874,chr8-81029648-81030148,82170
TFEC,4,pos,RFC3,2.332186023,chr13-33777140-33777640,-40659
TFEC,4,pos,ABCG1,0.715364239,chr21-42309575-42310075,110136
